,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4
0,0,446,447,0,0,82,900,756
1,0,448,431,0,0,83,902,757
2,0,448,356,0,0,83,902,758
3,0,448,422,0,0,82,902,757
4,0,446,462,0,0,83,902,758
5,0,448,432,0,0,83,902,758
6,0,449,469,0,0,83,902,758
7,0,447,487,0,0,82,902,759
8,0,448,489,0,0,82,902,760
9,0,445,356,0,0,77,890,772
10,0,445,0,0,0,81,886,776
11,0,443,0,0,0,81,885,779
12,0,663,0,0,0,82,876,824
13,0,819,0,0,0,81,871,854
14,0,987,275,0,0,79,868,861
15,0,424,489,0,0,80,879,866
16,0,245,0,0,0,80,894,883
17,0,338,0,0,0,81,860,888
18,0,303,0,0,0,81,835,895
19,0,289,0,0,0,81,825,899
20,0,0,0,0,0,81,791,905
21,0,0,0,0,0,81,827,881
22,0,0,0,0,0,81,837,873
23,0,244,0,0,0,82,892,860
24,0,244,448,0,0,81,893,865
25,0,256,0,0,0,79,886,878
26,0,320,453,0,0,80,892,870
27,0,481,484,0,0,79,876,874
28,0,302,384,0,0,79,886,868
29,0,278,487,0,0,78,893,866
30,0,286,491,0,0,77,890,867
31,0,286,474,0,0,79,894,864
32,0,274,496,0,0,79,895,857
33,0,246,497,0,0,77,897,860
34,0,243,496,0,0,79,896,861
35,0,243,494,0,0,78,896,861
36,0,240,491,0,0,78,897,863
37,0,243,493,0,0,80,898,864
38,0,241,699,0,0,77,898,865
39,0,240,493,0,0,78,898,865
40,0,239,491,0,0,77,899,867
41,0,241,466,0,0,72,899,869
42,0,241,438,0,0,76,899,866
43,0,243,388,0,0,76,889,864
44,0,241,482,0,0,78,890,861
45,0,0,449,0,0,77,867,866
46,0,0,339,0,0,79,860,868
47,0,0,469,0,0,78,858,868
48,0,0,234,0,0,78,859,869
49,0,0,400,0,0,78,861,869
50,0,0,349,0,0,79,862,869
51,0,0,0,0,0,78,864,869
52,0,0,0,0,0,75,849,902
53,0,0,0,0,0,78,847,910
54,0,0,0,0,0,78,848,911
55,0,243,0,0,0,80,852,915
56,0,0,0,0,0,80,851,916
57,0,0,0,0,0,78,852,918
58,0,0,0,0,0,78,854,920
59,0,241,0,0,0,79,873,910
